sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:atc,matchScore,mappingStatus,conceptId,comment
7791A,CETUXIMAB,0,1315411,L01XC06,1.0,AUTO_MAPPED_TO_1,1315411,
200377A,PREDNISOLONA + BENZOCAINA + NEOMICINA,0,,S02CA01,0.5056593418121338,UNCHECKED,1164108,
2962A,PENTETATO CALCIO TRISODIO,0,,V09CA01,0.5705991387367249,UNCHECKED,36878842,
2670A,NEFAZODONA,0,40238436;40238439;40238433;40238435;40238415;40238420;40238423;40238416;40238419;714684;40238429;40238430;40238424;40238427,N06AX06,0.9666502475738525,AUTO_MAPPED,714684,
200909A,PARACETAMOL + DEXTROMETORFANO + PSEUDOEFEDRINA + CLORFENAMINA,0,,N02BE51,0.5794146060943604,UNCHECKED,1125315,
528A,BUTALAMINA CLORHIDRATO,0,19018488,C04AX23,0.4791812002658844,AUTO_MAPPED_TO_1,19018488,
2742A,ROPIVACAINA,1,1136487;40173916;40173915,N01BB09,0.9605533480644226,AUTO_MAPPED,1136487,
200730A,LEVODOPA + CARBIDOPA + ENTACAPONA,7621,,N04BA03,0.9865519404411316,UNCHECKED,782211,
300828A,APOSITO TRAQUEOT-LARING,124,,,0.3590313196182251,UNCHECKED,976778,
1046A,BARIO SULFATO,7,,V08BA02,0.6068888306617737,UNCHECKED,19011331,
2346A,ACEMETACINA,0,19029398,M01AB11,0.9594009518623352,AUTO_MAPPED_TO_1,19029398,
200616A,INSULINA LISPRO INTERMEDIA 25:75,11981,,A10AD04,0.4534232020378113,UNCHECKED,1550023,
1308A,SOMATROPINA,91,1585176;1585177;40176999;1585178;1585179;1585180;19128230;1585181;1585040;1585172;1585174;1585175;1585034;1584910;19129407;19124799;40169210;1584952;1584953;40160962;1585202;1585203;1585204;1585206;40166101;1585066;1585067;1585069;1585070;1585071;1584930;19071256;1585062;1585063;1585112;1584985;1585114;1585242;1585115;1585244;1584983;1585227;1585228;1585230;19135736;19124803;1585144;1585145;1585146;19124801;1585147;19129408;1585148;1585149;1585150;1585151;40169224;40221835;40221834;19036626;19036624;40168471;1585120;1585121,H01AC01,0.9631578326225281,AUTO_MAPPED,1584910,
200937A,HIDROXOCOBALAMINA + PIRIDOXINA + TIAMINA,28491,,A11DB91,0.5468133091926575,UNCHECKED,1377023,
200287A,LINESTRENOL +  ETINILESTRADIOL,0,,G03AA03,0.4433322846889496,UNCHECKED,1548195,
3702A,HIPERICO,25,,,0.5001347064971924,UNCHECKED,1363749,
200619A,LOSARTAN + HIDROCLOROTIAZIDA 100/25,16670,,C09DA01,0.6173065304756165,UNCHECKED,1367500,
1198A,CALCITRIOL,14092,,D05AX03,1.0,UNCHECKED,19035631,
200397A,RESERPINA + HIDRALAZINA +  HIDROCLOROTIAZIDA,0,,C02LA51,0.4396515190601349,UNCHECKED,1362225,
300821A,APOSITO MODULADOR DE METALOPROTEASAS,1260,,,0.3354421555995941,UNCHECKED,36879095,
212A,TOPOTECAN,0,1378532;1378534;19124326;19127877;1378509;1378537;1378536,L01XX17,1.0,AUTO_MAPPED,1378509,
3141A,TOBRAMICINA,132705,,S01AA12,0.7537685036659241,APPROVED,902722,
2208A,PROCICLIDINA,103,752280;19016900;19128587;752307;19128586;752306;752279;752278;19011631;19025821;752276,N04AA04,0.5259379744529724,AUTO_MAPPED,752276,
2780A,DONEPEZILO,48794,40223777;40223776;40223779;40223778;40223180;40239151;40223179;40223767;40223766;40223763;40239152;40223762;715997;40223773;40223772;40223769;40223768,N06DA02,0.9514117240905762,AUTO_MAPPED,715997,
7408A,BARNIDIPINA,25579,19102106,C08CA12,0.9656484723091125,AUTO_MAPPED_TO_1,19102106,
300729A,GUANTE LATEX,12,,,0.5604308247566223,UNCHECKED,42903913,
100269A,TIRAS NASALES,1,,,0.5219647884368896,UNCHECKED,916282,
1704A,CELIPROLOL,324,19049145,C07AB08,1.0,AUTO_MAPPED_TO_1,19049145,
200932A,DEXAMETASONA + NEOMICINA + POLIMIXINA B*,531,,S01CA01,0.4072895646095276,UNCHECKED,915981,
1329A,PIPERAZINA,8,40182629;40182628;19128994;19128993;19021472;19128992;40172653;40172654;19001405;19001406;19129094;40168333;19128778;19128777;40168334;19128776;40174411;19058195;19046291;40168337;19046292;40168338;19046293;19128991;19128990;19128989,P02CB01,0.9554202556610107,AUTO_MAPPED,19046291,
200791A,ETINILESTRADIOL + DESOGESTREL,1731,,G03AA09,0.8231902718544006,UNCHECKED,1549786,
708A,DAPSONA,9,,J04BA02,0.9266423583030701,UNCHECKED,1711759,
8074A,DARUNAVIR,2690,19133699;42902282;1756831;19129965;40161652;1756840;1756872;42707832;19125237;40161651;19124378;19124376;42707831;1756839,J05AE10,1.0,AUTO_MAPPED,1756831,
300816A,APOSITO ESPUMA POLIURETANO CON PLATA CON SILICONA,4349,,,0.2994738817214966,UNCHECKED,19066891,
5050A,METACOLINA,0,,V04CX92,0.5954820513725281,UNCHECKED,1125315,
8446A,FOSAPREPITANT,6,19102771;19102466;19102770;19102465;936748;19124424;936787;19128381,A04AD12,0.7437160015106201,AUTO_MAPPED,936748,
1694A,HALOTANO,0,19023392;19077943;19066747,N01AB01,0.5854281783103943,AUTO_MAPPED,19066747,
7057A,CILAZAPRIL,607,19050216,C09AA08,1.0,AUTO_MAPPED_TO_1,19050216,
200820A,OPIO EXTO + BELLADONA EXTO,463,,,0.43849894404411316,UNCHECKED,43012163,
125ÑA,SODIO FOSFATO DIBASICO ANHIDRO,1,,,0.40203341841697693,UNCHECKED,19078187,
8052A,DEFERASIROX,381,1786057;1786061;1786083;1786082;1786055;19122189;1786084,V03AC03,1.0,AUTO_MAPPED,1786055,
2598A,LANSOPRAZOL,179945,19122146;19122145;19113637;19112613;19113636;19054442;929927;929924;929922;929887;19098167;19024820;19013434;40167553;19129803;929958;929956;929954;929955;929952;19031628;929953;19031629;929889;19121170;19121169,A02BC03,1.0,APPROVED,929887,
2233A,PROTIONAMIDA,1,19135812,J04AD01,0.8680170178413391,AUTO_MAPPED_TO_1,19135812,
200365A,PIRACETAM + PIRITINOL,0,,N06BX91,0.5636091828346252,UNCHECKED,1125315,
200538A,FENAZONA + RUTOXIDO + ADRENALINA + NAFAZOLINA,202,,B02BC30,0.4250465929508209,UNCHECKED,989878,
200919A,GUAIFENESINA + PSEUDOEFEDRINA,8,,,0.733389675617218,UNCHECKED,1163944,
90496A,MELATONINA,2778,,,0.9571937918663025,UNCHECKED,1301152,
200048A,AZATADINA + PSEUDOEFEDRINA,0,,R01BA52,0.6120641231536865,UNCHECKED,1133993,
8260A,FOSFATO (32P) SODIO,0,,B05XA09,0.6990397572517395,UNCHECKED,19135940,
200725A,CALCIO GLUBIONATO + CALCIO CARBONATO,11938,,A12AX94,0.5417590141296387,UNCHECKED,19090802,
167A,INDOMETACINA,24418,,S01BC01,0.9609197974205017,UNCHECKED,1178663,
195A,TERFENADINA,10,19064770;19016163;1150837;19016167;1150836;1150841;19107915;19022345;19016270;19016269;19016301;19003089;19038642;19016304;19016511,R06AX12,0.9692381024360657,AUTO_MAPPED,1150836,
200843A,DULCAMARA + ANEMONA PULSATILLA + AZUFRE,14,,,0.4569651782512665,UNCHECKED,42899907,
2888A,PIMECROLIMUS,14992,915935;19115253;19098376,D11AH02,1.0,AUTO_MAPPED,915935,
547A,CALCIFEDIOL,198743,19035570;19029600;19104033;19035569;19035591;19113311;19029599;19113309,A11CC06,1.0,APPROVED,19035569,
111A,METAMIZOL,1422896,46274898,N02BB02,0.0,APPROVED,19031397,
1156A,ROSIGLITAZONA,0,1547510;1547508;1547507;1547506;19107077;1547505;1547504;19079465,A10BG02,0.9614753127098083,AUTO_MAPPED,1547504,
3078A,TILOXAPOL,0,943191,R05CA01,0.7121526598930359,AUTO_MAPPED_TO_1,943191,
8086A,TELBIVUDINA,0,1758394;1758395;1758392;40171228;40171229,J05AF11,0.986480176448822,AUTO_MAPPED,1758392,
2688A,LANREOTIDA,298,1503526;1503527;1503525;1503602;1503501;1503530;1503528;1503529,H01CB03,0.9436632394790649,AUTO_MAPPED,1503501,
200755A,TIMOLOL + BRIMONIDINA,14530,,S01ED51,0.6841425895690918,UNCHECKED,915542,
200152A,DIFTERIA + PERTUSSIS + TETANOS +  H.INFLUENZ,0,,J07AG52,0.48712852597236633,UNCHECKED,19031041,
200595A,CLOROCARVACROL + MENTOL + ICTAMOL,376,,C05AX03,0.5295906066894531,UNCHECKED,40798737,
100411A,LACTOBACILLUS RHAMNOSUS CEPA GG,1009,,,0.9016972780227661,UNCHECKED,19122437,
1131A,BUPROPION,25624,40222061;40222060;40222057;750982;40222059;40222058;40222069;40222068;40222065;40222067;40222066;40222076;40222075;42707259;42707262;42707261;42707260;40221861;40221860;40221863;40221862;40221857;40221856;40221859;40221858;40221871;40221864;40221866;40221877;40221876;40221879;40221878;40221873;40221872;40221875;40221874;40221881;40221880;40221882;40222085;40222084;40222086;40222093;40222092;40222090;40222101;40222100;40222097;40222096;40222105;40222104,N06AX12,1.0,AUTO_MAPPED,750982,
2418A,MOMETASONA,204949,,R03BA07,0.9238990545272827,APPROVED,905233,
7379A,NITRICO OXIDO,0,19096178;19020068;19096235;19020522;19020523;19122057;19020521;19020478;19103198,R07AX01,0.6165301203727722,AUTO_MAPPED,19020068,
201215A,PYGEUM AFRICANUM + GLUTAMICO AC. + GLICINA + ALANINA,16015,,G04CX51,0.5243252515792847,UNCHECKED,1391440,
8102A,MARAVIROC,448,19127303;1787101;1787123;19127305;1787125,J05AX09,1.0,AUTO_MAPPED,1787101,
3121A,TINIDAZOL,1720,,P01AB02,0.9693069458007812,UNCHECKED,1702559,
200175A,EPINEFRINA + PROCAINA,0,,N01BA52,0.5542150735855103,UNCHECKED,1300153,
1806A,FOSFORO,26,,,0.704382598400116,UNCHECKED,956653,
2253A,ALTEPLASA,0,,B01AD02,0.886884868144989,UNCHECKED,1347450,
501A,CEFTRIAXONA,1202,19074977;1777806;19074975,J01DD04,0.97746741771698,AUTO_MAPPED,1777806,
200399A,RIFAMPICINA +  ISONIAZIDA +  VITAMINA B6,0,,J04AM02,0.5129064917564392,UNCHECKED,1763204,
42A,PIPERACILINA,0,19080706;1746121;19006422;19037690;1746114;19115096;19037785;1746145;1746118;1746119,J01CA12,0.845055103302002,AUTO_MAPPED,1746114,
200679A,FAMOTIDINA + CALCIO CARBONATO + MAGNESIO HIDROXIDO,1,,A02AX91,0.5197900533676147,UNCHECKED,953076,
68A,BLEOMICINA,1,19009483;1329241;19074301,L01DC01,1.0,AUTO_MAPPED,1329241,
8701A,PALBOCICLIB,0,45892075,L01XE33,1.0,AUTO_MAPPED_TO_1,45892075,
200172A,EBASTINA + PSEUDOEFEDRINA,16286,,R01BA52,0.5440153479576111,UNCHECKED,1125315,
5095A,DANAPAROID SODICO,0,19076071;19026343;19012389,B01AB09,0.9011631608009338,AUTO_MAPPED,19026343,
200878A,IODO TINTURA + QUELIDONIO ALCOHOLATURA +AC. SALICILICO + TUYA TINTURA + AC. ACETICO,14,,,0.2386869490146637,UNCHECKED,1704758,
300361A,SONDA GASTRICA,21,,,0.3933931291103363,UNCHECKED,19112537,
9163A,BRIVARACETAM,0,35604901,N03AX23,1.0,AUTO_MAPPED_TO_1,35604901,
200610A,SALMETEROL + FLUTICASONA (50/500),70680,,R03AK06,0.4734048545360565,UNCHECKED,1149380,
200024A,ALTIZIDA + ESPIRONOLACTONA,616,,C03EA04,0.525278627872467,UNCHECKED,970250,
8400A,CORIFOLITROPINA ALFA,43,,G03GA09,0.8333463072776794,UNCHECKED,36878940,
300803A,APOSITO MALLA CON PLATA,2778,,,0.24706143140792847,UNCHECKED,1150871,
8758A,MACITENTAN,1,44507580,C02KX04,1.0,AUTO_MAPPED_TO_1,44507580,
99A,ALPRAZOLAM,456850,781131;781130;19134823;19072935;19072934;19134822;781069;19134821;19072933;781068;19134824;19072936;781127;781063;781062;781126;19064364;19102451;19048247;19121787;19048248;781039;781101;781100;781155;781154;781153;19121993;19107913;19107912;781152;19125455;19113679;19125454;781157;781156;19125457;19125456;781041;781040,N05BA12,1.0,APPROVED,781039,
100339A,CEPILLO DENTAL,43,,,0.3662498891353607,UNCHECKED,1344354,
1766A,PROTIRELINA,140,19001701,V04CJ02,0.9612036943435669,AUTO_MAPPED_TO_1,19001701,
300758A,APOSITO DE ALGINATO CON CARBON,83,,,0.5368859767913818,UNCHECKED,19030059,
125ÑD,SODIO FOSFATO MONOBASICO DIHIDRO,255,,,0.38537511229515076,UNCHECKED,19078187,
201162A,ACIDO RETINOICO + BETAMETASONA DIPROPIONATO + UREA,47,,,0.4288582503795624,UNCHECKED,920458,
125FM,SODIO DIHIDROGENO FOSFATO,1,,,0.4376680552959442,UNCHECKED,19078187,
300144A,BOLSAS SISTEMA DOBLE  40  MM,1,,,0.16056010127067566,UNCHECKED,42899742,
200163A,DIOSMINA + HESPERIDINA,42393,,C05CA53,0.8290143609046936,UNCHECKED,19068688,
200736A,FACTORES COAGULACIÓN EN COMBINACIÓN (IX + II + VII + X),1,19080406,B02BD01,0.29972484707832336,AUTO_MAPPED_TO_1,19080406,
300178A,BOLSAS UROST KAR ADH MIC,27,,,0.3336186707019806,UNCHECKED,1507835,
1160A,OCTOCOG ALFA,37,1352213;19130005;19115179;19129868,B02BD02,1.0,AUTO_MAPPED,1352213,
1784A,ACIDO IOPANOICO,0,19115120;19010085;19081256,V08AC06,0.6995745897293091,AUTO_MAPPED,19081256,
300659A,FILTRO LARINGECTOMIA,516,,,0.2730182707309723,UNCHECKED,1750461,
300342A,MUSLERA,223,,,0.312241792678833,UNCHECKED,1381504,
1016A,VECURONIO,0,19012598;40165393;40165389;19022616;40165390,M03AC03,0.8476133346557617,AUTO_MAPPED,19012598,
696A,CLEBOPRIDA,3643,19050761,A03FA06,0.9278980493545532,AUTO_MAPPED_TO_1,19050761,
100301A,POMADA REGENERADORA PH5,17,,,0.30836042761802673,UNCHECKED,725822,
2116A,FLUCITOSINA,0,,J02AX01,0.618943989276886,UNCHECKED,970011,
200859A,BREA DE HULLA + ACIDO SALICILICO,64,,,0.44075194001197815,UNCHECKED,19011035,
8475A,BOCEPREVIR,20,40238770,J05AP03,1.0,AUTO_MAPPED_TO_1,40238770,
200292A,MAGNESIO SALES + CALCIO CARBONATO + ALGELDRATO,0,,A02AD01,0.47725340723991394,UNCHECKED,19035704,
2307A,ZOPICLON,10078,19044883,N05CF01,0.9720035791397095,AUTO_MAPPED_TO_1,19044883,
200349A,PAPAVERINA + ATROPINA + MAGNESIO + PROPIFENAZONA,0,,A03DB92,0.39727625250816345,UNCHECKED,1326901,
200450A,TECLOTIAZIDA POTASICA + CONCENTRADO ENZIMAS,93,,C03AX91,0.3492580056190491,UNCHECKED,43012228,
200486A,CETILPIRIDINIO + ETANOL,0,,D08AJ91,0.4146251976490021,UNCHECKED,955372,
300713A,COMPLEMENTO ALIMENTICIO PERSONAS DE EDAD,3503,,,0.21249553561210632,UNCHECKED,19068899,
200160A,DIHIDROERGOTOXINA + HEPTAMINOL + CINARIZINA,0,,C04AE51,0.506847620010376,UNCHECKED,19026637,
201064A,OXAZEPAM + METOCLOPRAMIDA + DIMETICONA+BIODIASTASA,5120,,,0.4011843502521515,UNCHECKED,906780,
8426A,OFATUMUMAB,0,40167582,L01XC10,1.0,AUTO_MAPPED_TO_1,40167582,
2180A,TENOXICAM,6869,19041220,M01AC02,1.0,AUTO_MAPPED_TO_1,19041220,
201009A,RINGER LACTATO SIN MAGNESIO,1,,B05BB01,0.5572330951690674,UNCHECKED,19051926,
2582A,FLUTICASONA,189599,,R03BA05,0.9171282052993774,APPROVED,1149380,
200562A,FENAZOPIRIDINA + SULFAMETIZOL,1,,J01EB20,0.45503246784210205,UNCHECKED,1836430,
8639A,CERITINIB,0,44818466,L01XE28,1.0,AUTO_MAPPED_TO_1,44818466,
200829A,TE VERDE + RIBES NIGRUM EXTO.,1,,,0.589627742767334,UNCHECKED,45776828,
235A,SERENOA REPENS,58663,1391333;19058499;1391335;1391367;1391334;19067142;19065370;1391309;1391311;19124920;19023599,G04CX02,0.0,UNCHECKED,0,
8565A,NEPAFENACO,2650,,,0.9455842971801758,UNCHECKED,909795,
9190A,IXEKIZUMAB,0,35603563,L04AC13,1.0,AUTO_MAPPED_TO_1,35603563,
200430A,SOLUCION NITROGENADA FORMA L  INFANTIL,0,,B05BA01,0.3179702162742615,UNCHECKED,19020477,
200618A,"IRBESARTAN + HIDROCLOROTIAZIDA 150/12,5",18664,,C09DA04,0.612646222114563,UNCHECKED,1347384,
100406A,ALERGENOS INMUNOTEK,5482,,,0.3506441116333008,UNCHECKED,19053979,
2846A,BROMURO DE TIOTROPIO (D.O.E),130541,19102097;19112779;19112761;19121580,R03BB04,0.0,APPROVED,1106776,Loss of 'bromide'
8285A,ARTESUNATO,0,19018511,P01BE03,0.9518192410469055,AUTO_MAPPED_TO_1,19018511,
100025A,DACTINOMICINA,0,1311445;19007268;1311443,L01DA01,0.6597915887832642,AUTO_MAPPED,1311443,
1547A,FERRITINA,11,,B03AB92,0.5936617255210876,UNCHECKED,19011091,
7007A,APRACLONIDINA,5079,19073523;19045686;19010678;19073524;919986,S01EA03,0.9620909094810486,AUTO_MAPPED,919986,
200851A,HAMAMELIS EXTO FLUIDO + NEFAZOLINA,22,,,0.5254884958267212,UNCHECKED,914533,
778A,DIHIDROERGOCRISTINA,582,19026526,C04AE04,0.7656047344207764,AUTO_MAPPED_TO_1,19026526,
100395A,BACTERIAS API,843,,,0.5605829954147339,UNCHECKED,44012529,
200687A,TEOFILINA + GUAIFENESINA + PREDNISOLONA,0,,R03DA54,0.4771815240383148,UNCHECKED,1163944,
201159A,UREA + LANOLINA + AC SALICILICO + ALANTOINA + ACETONIDO TRIAMCINOLONA,174,,,0.4910648465156555,UNCHECKED,903963,
1119A,MOXIFLOXACINO,145241,,S01AE07,0.9747064113616943,APPROVED,1716903,
2297A,SALBUTAMOL,391527,,R03CC02,1.0,APPROVED,1154343,
201306A,EXTO LLANTEN + EXTO GRINDELIA + EXTO HELICRISO + MIEL + ACEITES ESENCIALES,63,,,0.2976716458797455,UNCHECKED,19084915,
2924A,EPLERENONA,22772,19102210;19102209;19102208;1309799;1309801;1309800;1309832,C03DA04,0.9528847336769104,AUTO_MAPPED,1309799,
200379A,PRILOCAINA + FELIPRESINA,0,,N01BB54,0.6643685698509216,UNCHECKED,951279,
2767A,ROPINIROL,11363,19130464;19135461;19115237;19135460;713923;713926;713927;713924;713883;19134962;19080241;19134961;713823;19047483;713826;713827;713824;713825;713889;713830;713831;19068365;19130835;19134935;713854;19134934;713852;19130837;713853;19134939;19134938;19134937;19134936;19130463;19130462,N04BC04,1.0,AUTO_MAPPED,713823,
1842A,LEVOTIROXINA,689214,40174949;40174948;40174945;40174944;40240995;40240992;40174947;40174946;40175213;40175212;40175215;40175214;40175209;40175208;40175211;40175210;40175220;40174964;40175217;40175216;40175219;40175218;40174973;40174972;40174975;40174974;40174971;40174970;40175173;40169796;40174916;40175172;40175175;40169799;40175174;40174913;40169792;40174912;40174915;40169795;40174914;40175181;40175180;40175183;40175182;40175177;40169800;40175176;40175179;40175178;40175184;40174941;40174940;40174943;40174942;40174937;40174939;40174938;40174885;40174884;40174887;40169766;40169767;40174886;40174881;40174880;40174883;40174882;40169775;40174889;40174888;40169770;40169771;40174890;40169780;40175159;40169783;40175153;40169776;40175152;40169779;40174909;40169788;40174908;40174911;40174910;40169791;40174905;40175161;40169784;40174907;40175162;40174906;40169787;40175109;40175108;40175105;40175104;40243968;40175107;40175106;40243983;40243980;40175125;40175124;40175127;40175126;40175121;40175120;40243987;40225043;40175123;40225042;40243985;40175122;40174879;40174878;40175129;40175128;40175077;40175079;40175078;40175085;40175084;40175086;40175081;40175080;40175083;40175082;19102133;40175101;40243966;40175100;40243964;40175103;40175102;40243962;40243960;40175053;40175052;40175055;40175054;40175049;40175048;40175051;40175050;40175061;40175060;40175057;40175056;40175059;40175058;40175009;40175008;40175011;40175010;40175029;40175028;40175031;40175030;40175025;40175024;40175027;40175026;40175035;40175034;40174981;40174980;40174977;40174976;40174979;40174978;40174999;40175005;40175004;40175007;40175006;40175001;40175000;40175003;40175002,H03AA01,0.0,APPROVED,1501700,
1573A,FLUPAMESONA,0,,D07AC91,0.4714309275150299,UNCHECKED,19020021,
100204A,ANTITOXINA BOTULINICA A+B+E,0,,J06AA06,0.4283715784549713,UNCHECKED,19103217,
9996A,COLISTIMETATO,880,,J01XB01,0.7140486240386963,UNCHECKED,1701677,
7371A,LAMIVUDINA,948,1704186;1704187;1704184;1704217;1704185;1704190;1704191;19029028;1704183;1704212;19103468;19105297;19098455,J05AF05,0.9737804532051086,AUTO_MAPPED,1704183,
8710A,ALOGLIPTINA,63,43013924;43013911;43013928;43013884,A10BH04,0.9760484099388123,AUTO_MAPPED,43013884,
200161A,DIHIDROERGOTOXINA + PIRACETAM,0,,C04AE51,0.5928983092308044,UNCHECKED,19026637,
2997A,MERTIATIDA,0,,V09CA03,0.3216637372970581,UNCHECKED,35605522,
200559A,TRIMETOPRIM + BROMHEXINA + GUAIFENESINA + SULFAMETOXAZOL,0,,R05CZ95,0.4360521733760834,UNCHECKED,19030493,
2092A,PARAFINA LIQUIDA*,5190,19028579;40186977;19102695;40186978;19115183;40065007;908575;19027761;40234685;40234684;19104007;19104006;908523;19126155;19095115;908645;908711;19104008;19061582;40187147;908578;40187146;40242249;19047697;19028822;19126489;19041694;908531;908530;19041693,A06AA01,0.4744221866130829,AUTO_MAPPED,908523,
8103A,BENDAMUSTINA,0,19015523;40240464;40240465,L01AA09,0.9650514125823975,AUTO_MAPPED,19015523,
200649A,BENZOCAINA + HIDROCORTISONA + CASTAÑO INDIAS EXTRO,0,,C05AA51,0.3527428209781647,UNCHECKED,989878,
200101A,CLOCINIZINA + FENILPROPANOLAMINA,36988,,R06AE92,0.49975520372390747,UNCHECKED,19102307,
1548A,FERROCOLINATO,29,,B03AB93,0.6170090436935425,UNCHECKED,1595799,
8623A,MIRABEGRON,32913,42873444;42873636;42873440,G04BD12,1.0,AUTO_MAPPED,42873636,
2738A,CISATRACURIO,0,19015728;19044710;19013463;19044709;19016315;19015726;19016316,M03AC11,0.8563541173934937,AUTO_MAPPED,19015726,
201325A,ALOGLIPTINA + METFORMINA,110,,A10BD13,0.8614891767501831,UNCHECKED,1503297,
300573A,BOLSAS ILEOST SIST DOBLE PLACA ACOPLAM ADH,1724,,,0.21324343979358673,UNCHECKED,19044812,
201259A,ACIDOS GRASOS OMEGA 3 + VITAMINA E,824,,,0.39712485671043396,UNCHECKED,19009405,
201431A,GLECAPREVIR + PIBRENTASVIR,0,,J05AP57,0.6953879594802856,UNCHECKED,793844,
381A,AMINOACIDOS,0,,B05BA01,0.6853458285331726,UNCHECKED,962398,
2964A,COMPLEJO HIERRO (III) SACAROSA,11,,,0.3938697874546051,UNCHECKED,42900571,
200576A,BENZALCONIO CLORURO + ALUMINIO,33,,G01AX91,0.3620023727416992,UNCHECKED,916460,
200817A,LACTOBACILLUS BIPHIDUS + LACTOBACILLUS ACIDOPHILUS,576,,,0.675695538520813,UNCHECKED,987153,
2899A,ADEFOVIR DIPIVOXIL,41,40168220;40168221;19011439,J05AF08,0.0,UNCHECKED,0,
200409A,SOL. DIALISIS PERITONEAL (GLUCOSA + ELECTROLITOS),0,,B05DB91,0.2717319428920746,UNCHECKED,19113039,
1406A,EMEPRONIO BROMURO,0,19041852,G04BD01,0.5158411264419556,AUTO_MAPPED_TO_1,19041852,
201096A,CONDROITIN SULFATO + ACIDO HIALURONICO,11,,,0.5053426623344421,UNCHECKED,1395573,
300864A,MASCARILLA PARA CAMARA INHALACION INFANTIL,1,,,0.3675898611545563,UNCHECKED,928744,
300832A,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE CON PLATA CON FILM DE POLIURETANO,82,,,0.2796347439289093,UNCHECKED,19060156,
9057A,RIOCIGUAT,8,44506752,C02KX05,1.0,AUTO_MAPPED_TO_1,44506752,
1202A,STREPTOCOCCUS PNEUMONIAE,0,,J07AL01,1.0,UNCHECKED,43012408,
2159A,PIRISUDANOL,1035,19097999,N06BX08,1.0,AUTO_MAPPED_TO_1,19097999,
201252A,LUTEINA + ACIDOS OMEGA 3 + VITAMINAS + MINERALES,124,,,0.3454335927963257,UNCHECKED,19009405,
501251LR,ALERGENOS ASAC PHARMACEUTICAL IMMUNOLOGY,1,,,0.32990965247154236,UNCHECKED,19117912,
200916A,AMILMETACRESOL + ACIDO ASCORBICO + DECLOROBENCILICO,34,,,0.5183731913566589,UNCHECKED,1125315,
137A,PIKETOPROFENO,5099,19133329,M02AA28,0.9766916036605835,AUTO_MAPPED_TO_1,19133329,
2706A,FOSFATO DISODICO DODECAHIDRATADO,1,,A06AD17,0.4442302882671356,UNCHECKED,939871,
8362A,TOCOFERSOLAN,0,19127683;19018322,A11HA08,1.0,AUTO_MAPPED,19018322,
1889A,MEFENAMICO ACIDO,3303,19133331;19133333;19125195;19135739;1197755;19135737;1197740;19135740,M01AG01,0.0,UNCHECKED,0,
200182A,ESPIRAMICINA + METRONIDAZOL,35314,,J01RA04,0.5587018728256226,UNCHECKED,1707164,
100490A,ABOSRBENTE INC ORINA SUPER NOCHE PANTS,274,,,0.24051910638809204,UNCHECKED,943191,
7274A,MILTEFOSINA,0,44816310,L01XX09,0.9739125370979309,AUTO_MAPPED_TO_1,44816310,
300754A,APOSITO BASE CON HIDROCOLOIDE CON BORDE,1,,,0.3605891466140747,UNCHECKED,19030059,
406A,CICLOSPORINA,14482,,S01XA18,0.9711039662361145,UNCHECKED,19010482,
201256A,T. TETANICO + T. DIFTERICO + B.PERTUSSIS + A. HEPATITIS B + VIRUS POLIO + H. INFLUENZAE,0,,J07CA09,0.39485833048820496,UNCHECKED,43013138,
7064A,TALIDOMIDA,39,19047763;19023665;19125664;19137042;19137052;19099691;19102761;19102760;19125662;19099692,L04AX02,0.7212318778038025,AUTO_MAPPED,19137042,
200749A,SOLUCION AMINOÁCIDOS + ELECTROLITOS,0,,B05DB92,0.1925838589668274,UNCHECKED,955372,
2591A,MOCLOBEMIDA,265,19010652,N06AG02,0.9344959855079651,AUTO_MAPPED_TO_1,19010652,
2303A,LORATADINA,66697,19122275;40174950;1107926;1107927;19125354;1107931;40242224;19122298;40236350;19102584;1107888;40223876;1107890;19125062;1107830;1107962;1107963;1107964;1107966;40234634;1107967;19126290;19127569;40167185;1107882;1107883;19123229;19033500;40228442,R06AX13,0.9316536784172058,AUTO_MAPPED,1107830,
1790A,ISONIXINO,440,,M01AX93,0.7974238395690918,UNCHECKED,19099129,
624A,CLOFEDANOL,1,1150886,R05DB10,1.0,AUTO_MAPPED_TO_1,1150886,
201170A,ARANDANO ROJO + VITAMINA C,304,,,0.41252654790878296,UNCHECKED,19009405,
9121A,COBIMETINIB,0,35605804,L01XE38,1.0,AUTO_MAPPED_TO_1,35605804,
